district,inhabitants,total_households,mean_household_size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15_more
Ciudad de Madrid,3.334.730,1.307.682,"2,55",399.445,358.398,238.432,187.490,67.830,27.922,13.138,6.756,3.618,1.861,996,615,347,212,622
Centro,140.473,69.187,"2,03",32.637,19.580,8.591,4.797,1.893,756,387,200,112,66,55,27,23,15,48
Arganzuela,155.660,65.670,"2,37",21.921,18.725,11.615,9.243,2.566,847,358,190,93,55,15,14,9,1,18
Retiro,120.406,49.152,"2,45",15.408,14.110,8.895,6.703,2.517,892,345,143,60,35,18,10,3,1,12
Salamanca,147.854,63.477,"2,33",23.813,17.421,9.829,7.155,3.147,1.239,438,215,93,39,24,22,5,5,32
Chamartín,147.551,58.797,"2,51",19.431,15.791,9.792,7.494,3.594,1.507,610,253,147,65,33,29,9,12,30
Tetuán,161.313,67.306,"2,40",24.712,18.468,10.672,7.205,3.027,1.467,788,397,233,151,62,40,31,23,30
Chamberí,140.866,62.643,"2,25",24.952,17.294,9.356,6.484,2.755,989,391,181,90,51,18,18,10,9,45
Fuencarral-El Pardo,249.973,91.650,"2,73",22.545,24.709,18.431,16.349,5.830,2.079,851,412,197,81,60,33,13,12,48
Moncloa-Aravaca,121.683,46.361,"2,62",13.743,12.575,8.291,6.738,2.846,1.201,464,224,99,56,38,12,12,7,55
Latina,242.139,95.890,"2,53",28.224,28.565,17.713,12.921,4.353,1.894,989,534,305,167,94,57,33,10,31
Carabanchel,260.196,96.923,"2,68",27.562,25.810,18.119,14.414,5.356,2.507,1.399,794,443,227,119,60,37,24,52
Usera,142.894,50.189,"2,85",12.870,12.814,9.672,7.744,3.304,1.710,856,532,310,156,105,50,21,12,33
Puente de Vallecas,240.867,89.401,"2,69",24.646,24.060,17.365,13.113,4.970,2.371,1.322,679,391,184,105,66,54,28,47
Moratalaz,95.614,37.825,"2,53",10.570,11.269,7.401,5.525,1.812,668,309,150,60,27,13,6,3,2,10
Ciudad Lineal,219.867,87.629,"2,51",27.302,24.770,15.886,11.622,4.315,1.819,908,434,258,137,63,45,21,10,39
Hortaleza,193.264,71.751,"2,69",17.795,19.097,14.758,13.179,4.386,1.427,559,280,116,63,30,19,9,7,26
Villaverde,154.318,54.412,"2,84",13.046,14.379,10.721,9.101,3.498,1.722,868,484,272,132,71,52,24,18,24
Villa de Vallecas,114.512,43.427,"2,64",11.659,11.240,9.141,7.706,2.040,853,350,196,114,53,27,19,14,5,10
Vicálvaro,74.048,26.821,"2,76",6.218,6.747,5.878,5.545,1.427,510,259,120,57,28,11,10,3,4,4
San Blas-Canillejas,161.222,60.565,"2,66",15.957,16.047,12.285,10.838,3.123,1.157,558,289,139,79,30,25,13,5,20
Barajas,50.010,18.606,"2,69",4.434,4.927,4.021,3.614,1.071,307,129,49,29,9,5,1,0,2,8